4/23/2021,4,28,29,30,60,25,3X
4/20/2021,6,23,43,49,52,5,3X
4/16/2021,17,27,28,50,55,25,4X
4/13/2021,10,15,19,45,68,9,4X
4/09/2021,22,26,27,58,66,12,2X
4/06/2021,1,19,20,32,42,17,3X
4/02/2021,10,42,48,53,62,19,2X
3/30/2021,11,37,47,53,56,15,3X
3/26/2021,4,25,37,46,67,15,3X
3/23/2021,12,23,35,38,55,11,2X
3/19/2021,9,14,40,58,69,8,3X
3/16/2021,10,41,46,52,69,8,2X
3/12/2021,2,24,25,31,65,18,4X
3/09/2021,4,33,46,58,65,13,2X
3/05/2021,10,11,17,27,54,20,2X
3/02/2021,4,8,13,34,64,18,2X
2/26/2021,11,15,37,62,64,5,2X
2/23/2021,5,7,9,20,57,15,3X
2/19/2021,27,32,47,50,53,4,4X
2/16/2021,1,36,44,54,66,10,3X
2/12/2021,5,14,24,25,27,14,3X
2/09/2021,7,18,21,31,40,9,4X
2/05/2021,14,17,28,29,44,2,4X
2/02/2021,13,37,38,40,67,10,2X
1/29/2021,4,44,58,59,70,3,3X
1/26/2021,29,49,56,66,67,24,3X
1/22/2021,4,26,42,50,60,24,2X
1/19/2021,10,19,26,28,50,16,2X
1/15/2021,3,11,12,38,43,15,4X
1/12/2021,12,14,26,28,33,9,2X
1/08/2021,3,6,16,18,58,11,2X
1/05/2021,20,43,51,55,57,4,2X
1/01/2021,8,24,53,68,69,7,5X
12/29/2020,1,31,35,48,62,19,3X
12/25/2020,17,23,36,69,70,19,2X
12/22/2020,29,53,56,59,67,21,2X
12/18/2020,7,15,25,51,60,5,3X
12/15/2020,1,10,18,20,46,15,2X
12/11/2020,19,31,37,55,67,25,4X
12/08/2020,15,19,33,39,68,25,3X
12/04/2020,3,19,24,44,50,8,3X
12/01/2020,7,33,53,61,65,14,2X
11/27/2020,4,10,27,35,58,10,2X
11/24/2020,9,15,34,61,64,6,2X
11/20/2020,26,33,45,61,68,17,3X
11/17/2020,8,13,35,46,68,16,3X
11/13/2020,6,7,14,28,59,7,2X
11/10/2020,23,45,53,58,62,13,5X
11/06/2020,18,24,27,34,60,2,2X
11/03/2020,7,31,44,45,55,19,3X
10/30/2020,14,19,34,39,59,11,2X
10/27/2020,6,13,34,46,62,1,3X
10/23/2020,18,34,44,60,69,22,2X
10/20/2020,46,54,57,58,66,10,3X
10/16/2020,27,32,50,52,57,12,5X
10/13/2020,11,44,45,46,70,25,2X
10/09/2020,5,11,25,27,64,13,2X
10/06/2020,15,16,18,39,59,17,3X
10/02/2020,9,38,47,49,68,25,2X
9/29/2020,14,39,43,44,67,19,3X
9/25/2020,20,36,37,48,67,16,2X
9/22/2020,36,43,44,55,68,12,4X
9/18/2020,26,29,41,52,64,11,3X
9/15/2020,25,28,38,59,62,22,4X
9/11/2020,3,15,42,48,56,13,2X
9/08/2020,7,10,15,31,57,21,2X
9/04/2020,19,22,24,28,53,25,3X
9/01/2020,15,25,26,38,47,22,4X
8/28/2020,3,9,50,53,64,1,3X
8/25/2020,8,10,15,17,57,12,3X
8/21/2020,11,15,31,42,63,14,2X
8/18/2020,4,18,26,27,58,23,4X
8/14/2020,3,24,29,42,47,13,2X
8/11/2020,8,22,29,43,56,9,4X
8/07/2020,4,44,53,64,70,3,2X
8/04/2020,2,22,30,42,62,20,3X
7/31/2020,12,35,46,48,69,23,2X
7/28/2020,17,20,27,31,34,19,4X
7/24/2020,8,33,39,54,58,17,3X
7/21/2020,14,25,26,41,43,15,3X
7/17/2020,12,13,21,46,57,21,3X
7/14/2020,6,26,55,56,64,22,4X
7/10/2020,10,15,20,49,53,22,5X
7/07/2020,16,20,25,30,43,18,3X
7/03/2020,20,40,44,45,50,24,2X
6/30/2020,9,16,29,37,53,11,2X
6/26/2020,19,33,37,56,57,6,2X
6/23/2020,6,20,37,40,48,15,3X
6/19/2020,11,34,36,52,66,7,2X
6/16/2020,21,23,33,35,42,6,3X
6/12/2020,9,14,57,67,70,2,3X
6/09/2020,1,5,9,10,23,22,2X
6/05/2020,32,35,37,47,55,22,3X
6/02/2020,9,20,23,26,29,8,3X
5/29/2020,10,13,32,41,51,3,2X
5/26/2020,34,52,58,59,62,4,3X
5/22/2020,8,10,20,44,46,18,4X
5/19/2020,8,19,25,36,66,9,2X
5/15/2020,11,17,32,33,46,25,3X
5/12/2020,7,16,27,44,52,5,5X
5/08/2020,5,20,22,61,70,4,2X
5/05/2020,7,13,17,21,45,14,2X
5/01/2020,28,30,31,35,66,14,2X
4/28/2020,13,19,53,54,63,17,3X
4/24/2020,1,27,32,60,67,18,2X
4/21/2020,13,15,24,67,70,17,2X
4/17/2020,13,35,39,46,55,14,4X
4/14/2020,29,47,65,69,70,7,4X
4/10/2020,2,11,21,57,60,13,2X
4/07/2020,25,33,43,51,68,20,2X
4/03/2020,24,38,44,57,58,17,4X
3/31/2020,8,17,51,57,70,2,4X
3/27/2020,3,25,28,50,60,1,4X
3/24/2020,2,8,16,18,31,14,2X
3/20/2020,34,35,41,45,54,5,4X
3/17/2020,20,27,28,58,59,25,3X
3/13/2020,7,22,37,43,44,22,4X
3/10/2020,6,17,48,54,69,12,5X
3/06/2020,15,48,56,58,70,4,4X
3/03/2020,8,12,33,56,64,2,2X
2/28/2020,2,3,14,41,64,17,2X
2/25/2020,2,9,43,49,63,15,2X
2/21/2020,4,7,13,16,60,6,4X
2/18/2020,6,12,39,61,70,4,3X
2/14/2020,10,32,48,54,55,18,5X
2/11/2020,4,6,32,52,64,6,2X
2/07/2020,9,14,27,36,52,4,3X
2/04/2020,32,48,50,51,64,10,2X
1/31/2020,28,31,33,57,62,19,2X
1/28/2020,17,36,47,51,62,21,3X
1/24/2020,3,4,18,23,38,24,4X
1/21/2020,16,18,29,31,37,8,3X
1/17/2020,3,25,30,54,70,9,3X
1/14/2020,9,11,13,31,47,11,2X
1/10/2020,17,27,49,51,66,2,2X
1/07/2020,25,40,41,52,56,21,4X
1/03/2020,37,41,42,53,63,16,2X
12/31/2019,30,44,49,53,56,11,3X
12/27/2019,17,34,40,63,64,24,4X
12/24/2019,27,37,48,63,66,11,2X
12/20/2019,3,20,23,35,60,16,3X
12/17/2019,22,30,53,55,56,16,2X
12/13/2019,17,21,29,39,56,22,3X
12/10/2019,18,31,46,54,61,25,2X
12/06/2019,20,31,40,46,61,20,5X
12/03/2019,23,43,60,63,69,19,2X
11/29/2019,6,8,31,50,65,9,2X
11/26/2019,8,27,29,38,43,13,2X
11/22/2019,7,12,17,49,53,24,4X
11/19/2019,22,43,44,47,66,22,3X
11/15/2019,12,19,34,35,68,20,2X
11/12/2019,19,30,44,56,65,24,2X
11/08/2019,3,4,10,39,58,14,3X
11/05/2019,2,9,24,49,54,19,3X
11/01/2019,9,20,36,41,54,22,2X
10/29/2019,4,9,17,27,39,22,2X
10/25/2019,16,24,25,52,60,6,3X
10/22/2019,5,11,14,23,25,10,4X
10/18/2019,18,58,60,65,67,20,3X
10/15/2019,4,12,14,35,70,2,2X
10/11/2019,14,22,30,37,60,8,3X
10/08/2019,5,8,10,17,48,23,3X
10/04/2019,11,38,44,48,70,17,2X
10/01/2019,10,17,39,42,59,3,2X
9/27/2019,12,20,31,43,45,20,3X
9/24/2019,6,14,24,42,46,9,4X
9/20/2019,23,24,42,48,53,22,2X
9/17/2019,12,15,30,50,65,1,4X
